"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"Uniform",0.0794308115307118,0.0794308115307146,0.0794308115307146,0.0794308115307118,0.0794308115307146,0.0794308115307118,0.0794308115307132,0.0794308115307118,0.0794308115307146,0.0794308115307146,0.0794308115307146,0.0794308115307146,0.0794308115307146,0.0794308115307132,0.0794308115307146,0.0794308115307146,0.0794308115307118,0.0794308115307146,0.0794308115307118,0.0794308115307132,0.0794308115307118,0.0794308115307132,0.0794308115307146,0.0794308115307118,0.0794308115307132,0.0794308115307118,0.0794308115307146,0.0794308115307146,0.0794308115307146,0.0794308115307146
20,"Uniform",0.0413677743330063,0.0413043725945207,0.0412062432989156,0.0414330912695014,0.0414130870905975,0.0412062432989075,0.0412062432989156,0.0412062432989102,0.0413986484161632,0.0412062432989183,0.0412062432989156,0.0412062432989075,0.0413677743330144,0.0413141581441517,0.0413880243663288,0.0413920600392921,0.0412062432989156,0.041206243298921,0.0412062432989156,0.0412062432989156,0.0412712912929991,0.0412062432989102,0.0412062432989156,0.041206243298921,0.0412062432989156,0.0412897091630556,0.0413955791126015,0.041289709163061,0.04138120559249,0.0412712912929964
30,"Uniform",0.02813698672974,0.0281723669880859,0.0282576813575504,0.0282607639762835,0.0281990506565553,0.0283160640299672,0.0281745822402985,0.0282079667416204,0.028305308341821,0.0283097426583107,0.0281676914388205,0.0282165490323334,0.0281108145684538,0.0282666177600366,0.0281194304453983,0.0281052740787746,0.0283135027155141,0.0280173759634468,0.0283060003812247,0.0282404371754351,0.0280480007435012,0.0282646605540791,0.0282363371703185,0.0281673258902915,0.0282104775535476,0.0281196557337976,0.0283234331458054,0.0281483784437026,0.0281019223453289,0.0281904184715248
40,"Uniform",0.0216593508629027,0.0214404693034469,0.021678660435444,0.0215276417863175,0.0215530769268718,0.0215562782313524,0.0215108085108919,0.0215658886958161,0.0215147724187707,0.0215591102972729,0.0216150724407191,0.0213940902529349,0.0214838196226408,0.021459622596006,0.0216038133671823,0.0215066570030979,0.0215687698786925,0.0215468303665983,0.0215349302795838,0.0215552279485828,0.0215927166313105,0.0214890485640068,0.0215096210473299,0.0215668825930772,0.021614819436341,0.0215286984747506,0.0215149812129563,0.0215297271602411,0.0215125067299443,0.0215769694575334
50,"Uniform",0.0174140573722029,0.0174768415909408,0.0175208089032612,0.0174715474591678,0.0174251984248214,0.0175387649994784,0.017447814294964,0.0175010244088349,0.0173899341119352,0.0174298645829453,0.0174705408820966,0.0174965988668754,0.0174983025514781,0.0175185407446851,0.0175057666137949,0.0174280197215025,0.0174108107205949,0.017481728483952,0.017408632894464,0.0174360329212336,0.017489754380058,0.0175099600149598,0.0174259680423234,0.0174803984052743,0.0174941797811254,0.017467974025328,0.0174253361296314,0.0175478679555014,0.0174768516418348,0.0174578342107702
60,"Uniform",0.0147379834949409,0.0147080129338644,0.0146994248814976,0.0147022608174386,0.0147285763842762,0.0146797608214692,0.0147900617294987,0.0147562198128277,0.0146827924401645,0.0147157108326713,0.0147385486576743,0.0146821196690323,0.0147347741027711,0.0147977130296638,0.0147355129560268,0.0147325632642226,0.0147654114952619,0.0147274701969897,0.0147543422538941,0.0147356762462917,0.0146573554547187,0.0147121847918972,0.0146879692985272,0.0147456433121278,0.0147186656426929,0.014700985263229,0.0147395716383793,0.0146563653215493,0.0147007393849587,0.0146622978770456
70,"Uniform",0.0127331870484725,0.0127171205057532,0.0127440993671519,0.0127447096106346,0.0127635359906843,0.0127629289331918,0.0127294787276054,0.0127041279233504,0.012717628620825,0.0127056065979028,0.0127244023777889,0.0127081847747377,0.0127337140208013,0.0126857064401791,0.0127129312330044,0.0127085170062867,0.0126917515090134,0.0126936337522219,0.0128606939207695,0.0127285179821843,0.0127688486913527,0.0127392940877866,0.0127132716076565,0.0127317736858725,0.0127451775013003,0.0126733888032302,0.0127413075072627,0.0127355347844763,0.0126960929190831,0.0127611197120315
80,"Uniform",0.0112192155148191,0.0112259260049671,0.0111982371307622,0.0112087048880212,0.0111979862435723,0.0111959168566068,0.011238424483899,0.0112017707406425,0.0111984577322423,0.0111966431971833,0.0112232484842388,0.0112155801807638,0.0112251982687067,0.0112138101512851,0.0112554013373517,0.0112022290690661,0.0112296961684744,0.0112540061122414,0.0112475460562058,0.0112622147898802,0.0112442372927978,0.0111842073078142,0.0112521721695405,0.0112388937697864,0.0112471671628518,0.011207052112528,0.0112022311243439,0.0112460157198506,0.0111992392035633,0.0112332641613728
90,"Uniform",0.01004964869682,0.0100947581795016,0.0100251073246963,0.01000442974684,0.0100414376026051,0.0100379614085302,0.0100457217445056,0.0100362319296483,0.0100257112864357,0.0100355305067437,0.0100416790504031,0.0100458928196618,0.0100247781836293,0.0100600922392175,0.0100476179769517,0.0100686693521525,0.0100413475601719,0.0100376272959485,0.0100257746071921,0.0100491038071442,0.0100207683759619,0.010057284614639,0.0100722097340367,0.0100324716358952,0.0100372915350207,0.0100442266188221,0.0100434369240313,0.0100530235158234,0.0100799995465217,0.0100778718874038
100,"Uniform",0.0091043417125632,0.00908124164006165,0.0091246366559866,0.00914518023267215,0.00907005352271887,0.00913496554175122,0.00908742893262351,0.00910725974800421,0.00910186792603028,0.00908239537590804,0.0091037090786881,0.00909868679000625,0.00906796974461411,0.0090677527944723,0.00911253516246233,0.00909905327836063,0.00910680313746475,0.00908452896626489,0.00908806439514714,0.00911483577404161,0.00909661157166612,0.00911914986684613,0.00908521898819615,0.00913074335578038,0.00906740688633122,0.00908547881161284,0.00910271009633796,0.00908225180692562,0.00913612186737552,0.0090842972832658
