"ev","IR.1","IR.2","IR.3","IR.4","MR.1","MR.2","MR.3","MR.4","IRR.1","IRR.2","IRR.3","IRR.4","MRR.1","MRR.2","MRR.3","MRR.4"
0.0906,0.106232120444661,0.165120460308217,0.0769917162895936,0.0836751160914711,0.218880272023299,0.562637187241084,0.35576786053226,0.173221546613766,0.724749877601293,0.466276051713273,1,0.920126793794091,0.791398626347317,0.307874329215895,0.486894871151688,1
0.0919,0.100525646547001,0.158716926807728,0.0725225670433538,0.0788349732128868,0.207971699510612,0.545816067973697,0.345448651361476,0.162876190619912,0.721433480255661,0.456930262587611,1,0.919928860095037,0.783165166237442,0.298408566872313,0.471491754210032,1
0.0932,0.0950783155954286,0.152499190710743,0.0682871866778364,0.0742372682559924,0.197566871131165,0.529202260673898,0.335357219242198,0.153045195074737,0.718220408619856,0.447787206998114,1,0.919850477826874,0.774650092895027,0.289199813469893,0.456364694997684,1
0.0945,0.0898819724176792,0.146465229913237,0.064275933666612,0.0698729465190052,0.187646885668174,0.512814748388332,0.325491076632173,0.143710900504422,0.715114854933572,0.438847729967635,1,0.919897283122719,0.765858170215275,0.280239406054673,0.441520246857107,1
0.0958,0.0849284395124184,0.140612798238015,0.0604793415477792,0.0657330490747208,0.178192989221134,0.496670122953436,0.315847674665242,0.13485568930025,0.712121191617276,0.430112637723103,1,0.920075097673172,0.756795707225592,0.271519632584973,0.426964325265905,1
0.0971,0.0802095466781409,0.13493944847522,0.0568881357009394,0.0618087340975888,0.169186666015717,0.480782737234974,0.306424405911924,0.126462034978334,0.709243949840734,0.421582690190008,1,0.920389917889592,0.747470459442624,0.26303364323276,0.412702227820205,1
0.0984,0.0757171572002734,0.129442554577848,0.0534932478562153,0.0580912956187565,0.160609712502384,0.465164864407336,0.297218607359629,0.118512545561541,0.706487800575034,0.413258592050143,1,0.920847904775314,0.737891524211412,0.254775359511594,0.398738647672024,1
0.0997,0.0714431910317087,0.124119333142982,0.0502858285325379,0.0545721799868345,0.152444297103776,0.449826860698745,0.288227563575772,0.110990002209389,0.70385753780538,0.405140982143451,1,0.921455374234076,0.728069231306389,0.246739383319575,0.385077682482684,1
0.101,0.0673796453306104,0.118966862967855,0.0472572575730165,0.0512430002626109,0.144673007671042,0.434777328498968,0.279448510012312,0.104653234672245,0.701358063568608,0.397230425297382,1,0.922218787557945,0.723377749291047,0.240705362980981,0.374499168621919,1
0.1023,0.0635186126583154,0.113982104354682,0.0443991529232973,0.0480955487370579,0.137278888439708,0.420023277189146,0.270878636410403,0.0992601654675003,0.698994374485679,0.389527401469436,1,0.923144741856069,0.723054845473158,0.236320629970232,0.366437777385711,1
0.1036,0.0598522970890729,0.109161916354458,0.0417033777826131,0.045121807731859,0.130245468036418,0.405570279497448,0.262515090266839,0.0956713904098303,0.696771549478704,0.382032298216518,1,0.924239960208148,0.734546789628638,0.235893494287548,0.364441489106714,1
0.1049,0.056373028441334,0.104503073003315,0.0391620462452605,0.0423139588186509,0.123556779877639,0.391422621600905,0.254354980328511,0.0922014903425561,0.694694738389218,0.37474540336262,1,0.925511281350467,0.746227689276667,0.235554833201656,0.36249138988147,1
0.1062,0.0530732748062446,0.100002278221033,0.0367675275413498,0.0396643905757173,0.117197376117858,0.377583445577363,0.246395380086114,0.0888467477863583,0.692769151245662,0.367666899148868,1,0.926965648726216,0.758095025071299,0.235303609909334,0.360586094411781,1
0.1075,0.0499456535217793,0.0956561794659572,0.0345124489789695,0.0371657049877337,0.111152336145476,0.364054883158658,0.238633331243412,0.0856035710697527,0.69100004796053,0.360796857784312,1,0.928610098755295,0.770146395823071,0.235139192000471,0.358724284758171,1
0.1088,0.0469829407184833,0.0914613802044453,0.0323896976846838,0.0348107225842923,0.105407270486711,0.350838180045553,0.231065847143031,0.0824684881832136,0.689392728283217,0.35413523841738,1,0.930451748200684,0.782379505724995,0.235061327055413,0.356904705748943,1
0.1101,0.0441780795528684,0.0874144512621188,0.0303924212350716,0.0325924864054986,0.0999483208587875,0.337933810316827,0.223689916133848,0.0794381411332911,0.687952521763665,0.34768188550355,1,0.932497780529693,0.794792153092053,0.235070119378746,0.355126160831309,1
0.1114,0.0415241872094471,0.0835119411289487,0.0285140272684051,0.0305042648772487,0.0947621570109632,0.325341580700488,0.216502504868626,0.0765092807368044,0.686684777827944,0.341436528512459,1,0.934755431187987,0.807382220393663,0.235166007898755,0.353387508302643,1
0.1127,0.0390145607809606,0.0797503852901444,0.026748182162335,0.0285395536743769,0.0898359709033793,0.313060724676467,0.209500561523373,0.0736787618047481,0.68559485553374,0.33539878290269,1,0.937231971723151,0.820147665393312,0.235349745263931,0.351687657870684,1
0.114,0.0366426820872907,0.0761263146672844,0.025088808860391,0.026692076646287,0.0851574686972851,0.301089986549854,0.202681018932363,0.0709435386733165,0.684688113185166,0.329568152222309,1,0.939934692712678,0.833086513239422,0.235622378167564,0.350025567500186,1
0.1153,0.0344022215138291,0.0726362632071212,0.0235300839271156,0.0249557858766818,0.0807148609641503,0.289427695774509,0.196040797634515,0.0683006610457299,0.683969897631668,0.323944031372043,1,0.942870885468757,0.846196849376545,0.235985228928964,0.348400240510473,1
0.1166,0.0322870409357765,0.0692767747357969,0.0220664339086462,0.0233248609463692,0.0764968514641043,0.278071831921593,0.189576808828318,0.0657472701136904,0.683445533226148,0.318525710713319,1,0.946047822509359,0.859476813167166,0.236439878355708,0.34681072289402,1
0.1179,0.0302911957924422,0.066044409096353,0.0206925310724992,0.0217937074656684,0.0724926247947165,0.267020080778867,0.183285957233552,0.0632805949315082,0.68312031041251,0.3133123811027,1,0.949472736802407,0.87292459213203,0.236988149905902,0.345256100830862,1
0.1192,0.0284089363724282,0.0629357476484755,0.0194032885971857,0.0203569549406158,0.0686918331682725,0.256269882137169,0.177165143858813,0.0608979490193803,0.682999473926706,0.308303139664946,1,0.953152799806649,0.886538416731436,0.237632095162804,0.343735498377216,1
0.1205,0.0266347083679083,0.0599473981813389,0.0181938552790728,0.0190094540348535,0.0650845825385495,0.245818469872691,0.171211268674449,0.0585967271752192,0.683088210606964,0.3034969962172,1,0.957095098350255,0.900316555622254,0.238373980627113,0.342248075310034,1
0.1218,0.0249631527536922,0.0570759992875887,0.0170596098206211,0.0177462732867659,0.0616614182657976,0.235662904969587,0.165421233190841,0.0563744024767944,0.683391636823514,0.298892880257127,1,0.961306610404966,0.914257311335055,0.239216275824444,0.340793025111576,1
0.1231,0.0233891050450702,0.0543182242442476,0.01599615476079,0.0165626953390682,0.0584133104805847,0.225800102149233,0.159791942942261,0.0542285234580005,0.683914785536506,0.294489648425575,1,0.965794179831239,0.928359016324283,0.240161642717772,0.339369573080386,1
0.1244,0.0219075939856082,0.0516707844422113,0.0149993101050156,0.0154542127356509,0.0553316392827854,0.21622685078168,0.154320309876643,0.0521567114447722,0.684662593019989,0.290286092362133,1,0.970564490186817,0.942620029350893,0.241212926406785,0.337976974556777,1
0.1257,0.0205138397149577,0.0491304324026941,0.0140651067087485,0.0144165233380126,0.052408179890802,0.206939830753213,0.149003254651729,0.0501566580376429,0.685639885276717,0.286280946877587,1,0.97562403770835,0.957038732162605,0.242373147088622,0.336614513252585,1
