"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"Uniform",0.852165831513764,0.852104771132759,0.853080882849895,0.852007064266274,0.852988245253622,0.852007064266274,0.851685347301634,0.853142198340384,0.853080882849895,0.852868313267725,0.852988245253622,0.852127541861306,0.852104771132759,0.851837923905699,0.853080882849895,0.851685347301634,0.852798090168198,0.852165831513764,0.851685347301634,0.853142198340384,0.852127541861306,0.851685347301634,0.852798090168198,0.852798090168198,0.853080882849895,0.852798090168198,0.851793712093594,0.851793712093594,0.851685347301634,0.851793712093594
20,"Uniform",0.851245561863693,0.85124076546175,0.85109674973742,0.851453680518667,0.85144386065638,0.851668956165976,0.851671868595291,0.851132047113735,0.851471699440161,0.851360901360789,0.851355457590807,0.851376913744036,0.851145363498906,0.851494485962272,0.851541689458809,0.851655170027909,0.851385786838974,0.851096720813768,0.851330039473911,0.851434185277849,0.851583041646627,0.851552530265523,0.851586242352504,0.851356652524975,0.851354556821071,0.851269340924509,0.851270280257807,0.851227511221141,0.851303149553184,0.85141325187377
30,"Uniform",0.851299762372962,0.851204486137583,0.85116831362787,0.851259913176261,0.851287387784713,0.851173260132145,0.851220352097453,0.851171580519686,0.851131343770654,0.851310362585697,0.851211058656345,0.851317601275909,0.851285274681432,0.851331321833417,0.851140956408473,0.851119008142776,0.851292801863322,0.851280610726929,0.851217665694708,0.851045333382653,0.851212553215194,0.851156865917675,0.851234025220053,0.851238100675898,0.851462352984003,0.851278612973992,0.851144759918599,0.851101206913544,0.851207100049239,0.851307202863937
40,"Uniform",0.85119568225605,0.851240858087696,0.851179459451893,0.851211749867812,0.85121761089391,0.851205122953617,0.851274769049476,0.851280000897647,0.85124606047295,0.851208780131931,0.851255180376435,0.851211218328537,0.851147029363802,0.85113644161555,0.851178433896692,0.851196638610252,0.851168119869929,0.85121867155462,0.851166462756536,0.851170147513882,0.85122928416549,0.851206642221984,0.851193000107158,0.851251212618979,0.851175343550133,0.851157104098654,0.851249443940981,0.851203039661396,0.851290513302693,0.851176833931505
50,"Uniform",0.851192319318532,0.851164839610787,0.851218455439546,0.851150363897467,0.85123307005518,0.851175104255471,0.851169796682098,0.85112261241819,0.851189621921153,0.851167763327468,0.851144775147391,0.851144524428094,0.851187394903033,0.851144202744722,0.851142352718129,0.851154589935369,0.851232916377199,0.851184248015517,0.851195835162358,0.85119223394645,0.8511532078519,0.851148995414081,0.851086127774108,0.851136509682751,0.851168603531617,0.851208904056225,0.85114083786342,0.851202007361209,0.851188281711489,0.851147848794367
60,"Uniform",0.851169277831908,0.851134532681548,0.851128860456189,0.851194646332424,0.851160930384022,0.851190759981166,0.851166543713116,0.851107847182405,0.851197294223623,0.851156851065183,0.851105853609144,0.851189387969598,0.851166949950251,0.851188149475132,0.851129841777628,0.851196358155082,0.851110220633838,0.851110160469279,0.851102970318876,0.851158147170383,0.851196696341767,0.851113771934491,0.851171026329942,0.851197993593616,0.851113352141458,0.851141632907775,0.851147091160495,0.851124060584795,0.851185983488913,0.851128409928164
70,"Uniform",0.85113433218157,0.851166603457807,0.851183723446385,0.851127348798822,0.851117983542078,0.851185397703961,0.851144632652007,0.851149247646707,0.851116449239897,0.851167072883293,0.851161383384459,0.851172308366479,0.851150389957806,0.851130364007133,0.851136299647893,0.85114669743861,0.851143612813175,0.851153379602492,0.851121420361645,0.851110884979015,0.851166654959429,0.8511461757602,0.851119560615137,0.851149392757501,0.851127901720993,0.851102326432627,0.851086725887447,0.851144128190104,0.851108703970601,0.851122099071113
80,"Uniform",0.851110050340446,0.851161671763955,0.851110696801708,0.851177247863012,0.851113363999547,0.851127451052183,0.851105427886389,0.851112781706938,0.851119231641248,0.851125515682076,0.851136475827937,0.851121691666832,0.851148289617787,0.851129283681013,0.851144118953201,0.851128437207117,0.851127912653878,0.851162831557166,0.851120614816064,0.851119889230274,0.851135205258197,0.851149214193565,0.851157668199539,0.851135245800182,0.851131287429206,0.851181589369187,0.851160873835762,0.851110601849611,0.851137538355591,0.851127861968755
90,"Uniform",0.851138978506861,0.851173682503904,0.851142631731809,0.851111803391521,0.851124503062434,0.851159781807083,0.851125130003698,0.851114486433134,0.851121322442578,0.851146663828676,0.851151323523464,0.851155923347103,0.851108019229984,0.851148034756313,0.851168764583174,0.851136505721668,0.851131974663481,0.851126269872127,0.851115750282001,0.85112077716224,0.851127563996029,0.851143567121532,0.851116677526899,0.851120280036984,0.851125358407256,0.851125420288727,0.851138968496796,0.851129250485698,0.85111099189227,0.851129620449872
100,"Uniform",0.851128078924389,0.851128712596246,0.85113051827368,0.851124937132236,0.851150626936383,0.851152284451319,0.85116137515935,0.851126109042619,0.851142226461897,0.85112942461204,0.851159900194593,0.851135538933921,0.851141898014704,0.851141853786073,0.851131845819892,0.851155661389129,0.851138045923006,0.851142598200217,0.851114538363249,0.851120904137349,0.851140347091092,0.851149570939409,0.851114488899389,0.851131950569373,0.851117794787267,0.851128669084305,0.851105383807057,0.8511520362185,0.851154183497989,0.851154651563887
